fips,county,population,no_french,pct_french,no_spanish,pct_spanish,no_chinese,pct_chinese
41051,"Multnomah County, OR",766135,3225,0.42094408948814505,57695,7.530657129618149,6410,0.8366671670136464
41067,"Washington County, OR",554996,1630,0.2936958104202553,61970,11.165846240333263,4710,0.848654765079388
42003,"Allegheny County, PA",1231527,4345,0.35281402681386603,16020,1.3008240988626316,6890,0.5594680425195713
42017,"Bucks County, PA",626976,2035,0.3245738273873322,17665,2.817492216607972,2170,0.3461057520543051
42029,"Chester County, PA",509468,2135,0.41906459286942455,25610,5.026812282616376,3265,0.6408645881586282
42045,"Delaware County, PA",561973,3610,0.642379616102553,13240,2.3559850740160115,3520,0.626364611822988
42071,"Lancaster County, PA",529600,1080,0.20392749244712993,31810,6.0064199395770395,1185,0.22375377643504532
42091,"Montgomery County, PA",812376,3285,0.4043694053000088,24105,2.967222074507371,6890,0.8481294376003231
42101,"Philadelphia County, PA",1553165,8145,0.5244130533459098,141765,9.127491283926691,18725,1.2056027530880493
44007,"Providence County, RI",628600,7815,1.243238943684378,99930,15.897231944002547,3115,0.4955456570155902
47037,"Davidson County, TN",658602,1470,0.2232000510171545,49990,7.590320102277248,1990,0.3021551711048554
47157,"Shelby County, TN",939465,2720,0.2895264858190566,44635,4.751108343578526,2555,0.27196329826018
48029,"Bexar County, TX",1817610,3435,0.18898443560499778,621865,34.213335093887025,3260,0.17935640759018712
48085,"Collin County, TX",854778,3385,0.396009256204535,80950,9.470295211154241,13930,1.629662906626048
48113,"Dallas County, TX",2480331,6135,0.24734601954335933,748655,30.18367306621576,8965,0.36144369441014124
48121,"Denton County, TX",728799,1625,0.22296957048514063,87625,12.02320530077566,4715,0.6469547845153465
48157,"Fort Bend County, TX",652365,2990,0.45833237528070936,104125,15.961156714416008,14190,2.175162677335541
48201,"Harris County, TX",4336853,15510,0.3576325967239378,1313020,30.275870544839773,28485,0.656812670385646
48439,"Tarrant County, TX",1911541,6070,0.3175448499404407,358580,18.758687362708933,4440,0.2322733333995975
48453,"Travis County, TX",1120954,4245,0.3786952899048489,238510,21.27741191877633,6985,0.6231299411037384
49035,"Salt Lake County, UT",1079721,2590,0.23987678298375228,122665,11.360805245058678,4555,0.4218682418884138
51013,"Arlington County, VA",224906,2220,0.9870790463571447,28545,12.691969089308422,1725,0.7669870968315652
51059,"Fairfax County, VA",1130924,7695,0.6804170748874372,138150,12.215674970201357,16565,1.4647314938934888
51087,"Henrico County, VA",318611,1080,0.33897134750526503,12560,3.942111226542712,2085,0.6544030181004422
51107,"Loudoun County, VA",349679,1485,0.4246752021139387,33695,9.63598042776375,2850,0.8150332161782663
51153,"Prince William County, VA",438580,1600,0.36481371699575904,69065,15.74741210269506,1560,0.35569337407086504
51810,"Virginia Beach city, VA",448479,1815,0.4047012234686574,16815,3.7493394339534296,1265,0.2820644890842158
53011,"Clark County, WA",443817,895,0.20165969307169396,19630,4.422994162008216,1915,0.4314841477455798
53033,"King County, WA",2044449,11955,0.5847541317978585,121930,5.9639541020587945,38030,1.860158898558976
53053,"Pierce County, WA",819743,1825,0.2226307513452387,44005,5.36814587010807,1665,0.20311243889853284
53061,"Snohomish County, WA",745913,2205,0.2956108822342552,41660,5.585101747790962,5065,0.6790336138396837
55025,"Dane County, WI",509939,2050,0.4020088677273164,23715,4.650556243001614,4430,0.8687313580643958
55079,"Milwaukee County, WI",956023,2420,0.25313198531834485,88015,9.206368466030629,2360,0.24685598568235284
